polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the composite wind profile from Sromovsky et al. (2015, Icarus 258) Table 6.
the distribution of models in this file comes from randomly drawing the near-equatorial occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
   90   24966.94404025   25553.58338820
   91   24963.45126996   25549.84929558
   92   24970.73889790   25557.64083550
   93   24970.42976565   25557.31006906
   94   24971.11857525   25558.04664067
   95   24966.45028650   25553.05530167
   96   24963.05992657   25549.43115931
   97   24977.15764682   25564.50307085
   98   24970.63363687   25557.52825792
   99   24969.86596951   25556.70743089
  100   24972.35168592   25559.36506466
  101   24968.91321140   25555.68891754
  102   24968.92098207   25555.69735338
  103   24970.32200353   25557.19511470
  104   24969.08369619   25555.87102533
  105   24972.19571528   25559.19837908
  106   24966.37129398   25552.97094072
  107   24975.76379089   25563.01264515
  108   24967.80825620   25554.50762921
  109   24967.40263245   25554.07384213
  110   24978.56126512   25566.00426855
  111   24971.08775577   25558.01330484
  112   24977.13902906   25564.48335180
  113   24959.80081396   25545.94686215
  114   24973.34598501   25560.42783810
  115   24961.86761162   25548.15625810
  116   24965.15458068   25551.67026040
  117   24963.99496190   25550.43068552
  118   24969.93117934   25556.77688591
  119   24967.40567294   25554.07706902
  120   24967.80860612   25554.50786719
  121   24971.94585272   25558.93139128
  122   24972.64879910   25559.68233903
  123   24971.24240338   25558.17881729
  124   24967.74543412   25554.44047387
  125   24975.13899907   25562.34486144
  126   24977.15417204   25564.49940755
  127   24963.15655659   25549.53417576
  128   24961.83706036   25548.12381569
  129   24968.95965165   25555.73817852
  130   24961.77503584   25548.05764221
  131   24966.83254605   25553.46425748
  132   24969.34506412   25556.15031433
  133   24974.59771877   25561.76615130
  134   24966.73960116   25553.36505346
  135   24970.18486675   25557.04852076
  136   24965.99327062   25552.56720937
  137   24973.84088202   25560.95709496
  138   24976.49551420   25563.79545435
  139   24978.73984074   25566.19474756
  140   24975.25569854   25562.46968348
  141   24967.93929550   25554.64749881
  142   24967.36605447   25554.03469933
  143   24971.73560579   25558.70608805
  144   24969.17355725   25555.96699294
  145   24975.26241907   25562.47708771
  146   24969.48263423   25556.29807540
  147   24968.18912277   25554.91451678
  148   24959.95901996   25546.11618200
  149   24969.38958894   25556.19789904
  150   24972.13862764   25559.13724326
  151   24971.71340860   25558.68274499
  152   24967.85742541   25554.56024805
  153   24969.97424570   25556.82297790
  154   24974.57866993   25561.74581537
  155   24969.08891452   25555.87679418
  156   24959.53578478   25545.66393720
  157   24975.36015755   25562.58135512
  158   24967.76235043   25554.45792170
  159   24972.03813477   25559.02952665
  160   24978.03154540   25565.43752811
  161   24961.73805565   25548.01784581
  162   24970.56810355   25557.45812326
  163   24968.26041544   25554.99081258
  164   24972.76479895   25559.80654503
  165   24972.23796064   25559.24336515
  166   24970.48079443   25557.36477711
  167   24962.60332990   25548.94340367
  168   24967.83606267   25554.53713557
  169   24972.75179901   25559.79288794
  170   24968.91949285   25555.69543540
  171   24968.61184137   25555.36643765
  172   24964.33192539   25550.79100746
  173   24968.75026526   25555.51462678
  174   24962.27411006   25548.59094865
  175   24971.58160305   25558.54153844
  176   24966.49307797   25553.10145430
  177   24969.64921538   25556.47597963
  178   24976.93272132   25564.26280295
  179   24965.36718879   25551.89816621
  180   24969.21064120   25556.00650068
  181   24971.05527080   25557.97886327
  182   24966.19486783   25552.78271459
  183   24965.66632893   25552.21783042
  184   24968.12618097   25554.84724649
  185   24965.37687055   25551.90807665
  186   24965.90188321   25552.46975978
  187   24964.77722876   25551.26624578
  188   24973.47807358   25560.56937287
  189   24965.65922184   25552.20974988
  190   24968.08040989   25554.79854941
  191   24964.98684593   25551.49082183
  192   24964.75788251   25551.24634821
  193   24971.87344038   25558.85381599
  194   24973.10594972   25560.17116084
  195   24969.96280512   25556.81158666
  196   24971.19230140   25558.12573033
  197   24965.69348171   25552.24665524
  198   24977.79651798   25565.18639822
  199   24975.28993377   25562.50643196
  200   24969.17695420   25555.97066295
  201   24968.01047790   25554.72383070
  202   24977.35341243   25564.71262365
  203   24969.22342262   25556.02053313
  204   24961.10651422   25547.34318585
  205   24966.50041449   25553.10926472
  206   24974.09920340   25561.23285112
  207   24972.48226000   25559.50470260
  208   24972.75811336   25559.79952616
  209   24973.38279399   25560.46724857
  210   24970.69129299   25557.58983414
  211   24975.94191537   25563.20365791
  212   24965.71359206   25552.26839387
  213   24965.69790250   25552.25125046
  214   24961.44657111   25547.70647800
  215   24973.28898522   25560.36702002
  216   24971.88851673   25558.86967611
  217   24965.56340476   25552.10759889
  218   24969.71059452   25556.54132635
  219   24970.81368674   25557.72063406
  220   24969.00149632   25555.78266483
  221   24972.89194727   25559.94268125
  222   24975.67398996   25562.91703377
  223   24971.35120946   25558.29561454
