polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the k-band 2014 wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing the occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
  600   24322.20633042   24757.42104136
  601   24317.90403093   24752.92445082
  602   24320.26957054   24755.39680165
  603   24323.49191296   24758.76470584
  604   24329.37384108   24764.91252469
  605   24328.86471036   24764.38036924
  606   24323.07780093   24758.33188319
  607   24323.95241055   24759.24601130
  608   24329.58020025   24765.12821668
  609   24319.85651818   24754.96509590
  610   24328.19877584   24763.68432153
  611   24322.09396200   24757.30359675
  612   24323.06162089   24758.31497211
  613   24328.02970951   24763.50761060
  614   24329.38278776   24764.92187599
  615   24322.44175189   24757.66709818
  616   24316.22580961   24751.17047663
  617   24329.26653888   24764.80036975
  618   24326.66682030   24762.08310363
  619   24321.79097717   24756.98692516
  620   24324.63951011   24759.96416065
  621   24319.05951238   24754.13210082
  622   24330.27285041   24765.85219491
  623   24330.35957386   24765.94284103
  624   24337.28010970   24773.17657742
  625   24324.41227897   24759.72666065
  626   24327.04956065   24762.48314679
  627   24326.30583980   24761.70580499
  628   24328.36050740   24763.85336621
  629   24321.20123839   24756.37054791
  630   24328.98660599   24764.50777727
  631   24326.96210926   24762.39174184
  632   24327.84102926   24763.31039913
  633   24323.71191576   24758.99464941
  634   24321.41946278   24756.59862920
  635   24324.56275668   24759.88393859
  636   24324.45289048   24759.76910741
  637   24327.29365390   24762.73827547
  638   24325.71461674   24761.08785764
  639   24320.02558211   24755.14179459
  640   24328.56007494   24764.06195799
  641   24324.21156379   24759.51687520
  642   24320.46739336   24755.60355855
  643   24327.28779533   24762.73215203
  644   24328.45609605   24763.95327725
  645   24323.89861501   24759.18978490
  646   24318.82573973   24753.88777286
  647   24322.85589279   24758.09994917
  648   24320.33251951   24755.46259349
  649   24327.58711563   24763.04500512
  650   24325.69639399   24761.06881122
  651   24318.69658549   24753.75278722
  652   24315.63149985   24750.54934519
  653   24316.67210466   24751.63691495
  654   24316.83311763   24751.80519550
  655   24328.77783275   24764.28956290
  656   24325.98763534   24761.37321684
  657   24328.15943755   24763.64320448
  658   24327.57869073   24763.03619931
  659   24327.32944771   24762.77568754
  660   24324.00827367   24759.30439873
  661   24321.58982352   24756.77668513
  662   24324.52652159   24759.84606599
  663   24320.84887978   24756.00227444
  664   24329.50013800   24765.04453349
  665   24324.81748829   24760.15018214
  666   24323.73570789   24759.01951661
  667   24325.74933130   24761.12414128
  668   24326.57494000   24761.98706979
  669   24329.05666692   24764.58100655
  670   24339.39150804   24775.38359781
  671   24323.22861428   24758.48951052
  672   24326.60183296   24762.01517847
  673   24328.27932664   24763.76851463
  674   24321.28070612   24756.45360505
  675   24316.19730293   24751.14068335
  676   24325.31029960   24760.66526608
  677   24327.87983865   24763.35096328
  678   24310.74561100   24745.44304640
  679   24322.10753553   24757.31778345
  680   24327.47967824   24762.93271023
  681   24334.25958129   24770.01930841
  682   24319.45182215   24754.54212502
  683   24329.57070107   24765.11828788
  684   24324.78746384   24760.11880079
  685   24324.07279945   24759.37184029
  686   24330.06287406   24765.63272112
  687   24322.55188303   24757.78220472
  688   24320.01365390   24755.12932771
  689   24316.53619695   24751.49487298
  690   24332.78028204   24768.47306410
  691   24332.62844230   24768.31435378
  692   24318.22110221   24753.25583654
  693   24321.45490246   24756.63566967
  694   24329.82988164   24765.38919059
  695   24322.15438415   24757.36674843
  696   24333.49043848   24769.21535645
  697   24320.98799904   24756.14767715
  698   24326.93321770   24762.36154414
  699   24317.52811733   24752.53156721
  700   24329.70191675   24765.25543808
  701   24320.16593369   24755.28848446
  702   24328.38978975   24763.88397266
  703   24330.83309056   24766.43777679
  704   24330.11906397   24765.69145253
  705   24325.60198862   24760.97013881
  706   24327.69150068   24763.15410975
  707   24325.68785885   24761.05989030
  708   24331.18193531   24766.80240219
  709   24320.00537307   24755.12067292
  710   24320.44753496   24755.58280329
  711   24337.77015937   24773.68881789
  712   24322.36551609   24757.58741833
  713   24328.41786978   24763.91332243
  714   24329.72262616   24765.27708414
  715   24320.79994211   24755.95112650
  716   24331.76728048   24767.41422847
  717   24322.16237392   24757.37509914
  718   24327.33451549   24762.78098444
  719   24329.90558842   24765.46832150
  720   24331.92056118   24767.57444402
  721   24327.76695713   24763.23297788
  722   24333.31082443   24769.02761419
  723   24324.01110681   24759.30735989
  724   24322.59124523   24757.82334520
  725   24326.51774677   24761.92729112
  726   24319.08588193   24754.15966103
  727   24320.60702836   24755.74949992
  728   24330.40729559   24765.99272134
  729   24329.68721842   24765.24007498
  730   24329.66944804   24765.22150089
  731   24324.30359972   24759.61307017
  732   24323.56185372   24758.83780683
  733   24316.39542813   24751.34775061
  734   24328.99426288   24764.51578042
  735   24327.90564816   24763.37793976
  736   24326.94478405   24762.37363338
  737   24335.15252740   24770.95267188
  738   24330.18910589   24765.76466250
  739   24323.20436076   24758.46416118
  740   24326.46997342   24761.87735817
  741   24323.39263232   24758.66093934
  742   24329.65956850   24765.21117453
  743   24328.50023500   24763.99941212
  744   24317.00094519   24751.98059842
  745   24325.68885577   24761.06093228
  746   24324.43123111   24759.74646924
  747   24328.30528324   24763.79564493
  748   24321.39119947   24756.56908925
  749   24336.83259467   24772.70879913
