polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
the distribution of models in this file comes from randomly drawing wind fit coefficients from Gaussians with means and standard deviations given by Sromovsky et al. Table 5 (Fit 1).
index         r_pol_km          r_eq_km
  295   24968.06819234   25556.60637602
  296   24968.11853358   25556.61064856
  297   24968.79671498   25556.60923331
  298   24969.07742326   25556.60613013
  299   24968.76084381   25556.61056328
  300   24968.95223769   25556.60989253
  301   24968.24669311   25556.61011596
  302   24968.06883565   25556.61049124
  303   24968.46801357   25556.60720622
  304   24968.85621812   25556.60593976
  305   24969.03323613   25556.61017915
  306   24968.99640298   25556.60780638
  307   24968.27221672   25556.60747655
  308   24968.65147283   25556.60536761
  309   24968.69745934   25556.60852093
  310   24968.33511533   25556.60668485
  311   24968.56495831   25556.60706099
  312   24968.57845878   25556.60869812
  313   24968.38257512   25556.60849327
  314   24968.53437233   25556.60734461
  315   24968.82359223   25556.61034301
  316   24968.45400418   25556.61245893
  317   24968.23844001   25556.60727966
  318   24969.08982513   25556.60830191
  319   24968.46806053   25556.60553979
  320   24968.37727075   25556.60970883
  321   24968.42142438   25556.60553769
  322   24968.44559694   25556.60663932
  323   24968.50403458   25556.60625773
  324   24969.06365428   25556.60498228
  325   24968.60223232   25556.61015523
  326   24968.89400768   25556.60938143
  327   24968.24865736   25556.60840748
  328   24968.97944841   25556.60725282
  329   24968.11481585   25556.60840801
  330   24968.91845105   25556.60508504
  331   24968.64719431   25556.61075128
  332   24969.02807302   25556.60664210
  333   24968.74691693   25556.60557710
  334   24967.85728839   25556.60954358
  335   24968.32975615   25556.60870691
  336   24969.51268314   25556.61072001
  337   24968.83248086   25556.60575015
  338   24969.04662620   25556.60869297
  339   24968.91219234   25556.60873543
  340   24968.48116592   25556.60845633
  341   24969.07904228   25556.60540943
  342   24969.22673226   25556.61099212
  343   24969.15409676   25556.60861107
  344   24969.02148290   25556.60834346
  345   24968.36755356   25556.61051907
  346   24968.84730536   25556.60735145
  347   24969.07280790   25556.60729937
  348   24969.08102373   25556.60871281
  349   24968.80802378   25556.60724877
  350   24968.45338737   25556.60766587
  351   24968.84673399   25556.60983055
  352   24968.55157486   25556.60499544
  353   24968.60199782   25556.60748009
  354   24968.38446716   25556.60937476
  355   24968.31611868   25556.61087328
  356   24968.96907985   25556.60722071
  357   24968.52494790   25556.60760461
  358   24968.08169002   25556.60933099
  359   24968.62191998   25556.60507642
  360   24968.14547328   25556.60850697
  361   24968.47987738   25556.61217493
  362   24968.28470951   25556.60883888
  363   24968.72497125   25556.60632762
  364   24968.64756875   25556.61116951
  365   24968.36890094   25556.60908640
  366   24968.57356172   25556.60526056
  367   24968.21383748   25556.60896174
  368   24969.66442481   25556.60981723
  369   24968.41469014   25556.60634082
  370   24968.33910667   25556.60814516
  371   24968.93484231   25556.61076293
  372   24968.60377978   25556.61024061
  373   24969.14463985   25556.60818734
  374   24968.83650885   25556.60856512
  375   24969.06892161   25556.60702570
  376   24969.31100156   25556.60867621
  377   24968.60108462   25556.60900593
  378   24968.26691051   25556.60815660
  379   24968.16333477   25556.60783175
  380   24968.67802733   25556.60750028
  381   24969.02981338   25556.60682868
  382   24968.09648949   25556.61066826
  383   24968.35037470   25556.61155378
  384   24969.07352757   25556.60766517
  385   24968.39861177   25556.60603493
  386   24968.85727344   25556.60971242
  387   24969.42285372   25556.60699397
  388   24968.77472172   25556.60531846
  389   24969.23429869   25556.60953931
  390   24968.94967551   25556.60638382
  391   24968.28547529   25556.60917366
  392   24969.23578368   25556.60826750
  393   24968.90210683   25556.60593154
  394   24968.53009592   25556.60568227
  395   24969.35040856   25556.61043079
  396   24967.92324347   25556.60491925
  397   24968.19065353   25556.61306514
  398   24968.19237547   25556.60941052
  399   24969.00973755   25556.60524619
  400   24969.14290076   25556.60956534
  401   24968.20078596   25556.60929854
  402   24969.05781081   25556.60903718
  403   24969.15493734   25556.61091917
  404   24968.72000849   25556.60675162
  405   24968.76139297   25556.60891758
  406   24967.72106869   25556.60912246
  407   24968.55975823   25556.60786865
  408   24968.97735435   25556.61133997
  409   24969.14375452   25556.61044373
  410   24969.05447423   25556.60679822
  411   24968.69596738   25556.60639249
  412   24968.71411167   25556.61047625
  413   24968.42679590   25556.60902113
  414   24969.06004172   25556.60871422
  415   24968.65634036   25556.61363441
  416   24969.11825611   25556.60868317
  417   24968.86510800   25556.60616910
  418   24967.94570214   25556.60645315
  419   24968.66977086   25556.60849280
  420   24968.76318271   25556.60598348
  421   24968.80122009   25556.61096912
  422   24968.28628337   25556.60751552
  423   24968.73575138   25556.60765139
  424   24969.01251996   25556.60898958
  425   24968.88679736   25556.60196541
  426   24968.34371191   25556.61068586
  427   24968.63008464   25556.60869616
  428   24968.70150870   25556.60445813
  429   24968.36753928   25556.61140695
  430   24968.33225963   25556.61375173
  431   24968.73606765   25556.60997352
  432   24969.16637284   25556.60810128
  433   24968.30152124   25556.60672818
  434   24968.98023387   25556.60711834
  435   24969.47838281   25556.60657053
  436   24968.53613469   25556.60702422
  437   24968.63425743   25556.60725531
  438   24968.82429793   25556.60658491
  439   24969.08760770   25556.60940103
  440   24968.85348639   25556.60842977
  441   24968.62635831   25556.60609655
  442   24969.17736345   25556.60843898
  443   24968.55143544   25556.60429894
  444   24968.65755681   25556.60521754
