polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric Voyager wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the Jacobson (2009, AJ 137) error ellipsoid,
followed by direct integration of Equation (3) from the Voyager 2 occultation point reported in Lindal (1992, AJ 103) to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
  127      24283.47783      24763.56573   3.50913768e-03  -3.56326192e-05   1.73068097e-06
  128      24283.48654      24763.53675   3.50982420e-03  -3.48195538e-05  -4.12865933e-07
  129      24283.48902      24763.55677   3.50940069e-03  -3.54642184e-05   8.10355748e-07
  130      24283.51527      24763.55657   3.50909777e-03  -3.57581216e-05   6.39462332e-07
  131      24283.53028      24763.55421   3.50906722e-03  -3.57776863e-05   4.17130895e-07
  132      24283.47234      24763.55725   3.50945408e-03  -3.53443058e-05   1.03247172e-06
  133      24283.48366      24763.57257   3.50883376e-03  -3.59861722e-05   2.12198539e-06
  134      24283.53691      24763.56114   3.50876945e-03  -3.61289440e-05   8.08164688e-07
  135      24283.51280      24763.55564   3.50915064e-03  -3.57413273e-05   5.00873751e-07
  136      24283.51614      24763.55511   3.50963385e-03  -3.52310118e-05   7.80990047e-07
  137      24283.42316      24763.57088   3.50971477e-03  -3.51088681e-05   2.44685265e-06
  138      24283.50552      24763.55590   3.50920064e-03  -3.56006040e-05   7.50140537e-07
  139      24283.46930      24763.57885   3.50897253e-03  -3.59139077e-05   2.66360861e-06
  140      24283.54609      24763.55108   3.50898291e-03  -3.58936572e-05   9.61417713e-11
  141      24283.49764      24763.55574   3.50923710e-03  -3.54927957e-05   9.09159341e-07
  142      24283.53773      24763.55152   3.50903813e-03  -3.57880123e-05   1.81091625e-07
  143      24283.59265      24763.53943   3.50888349e-03  -3.59867715e-05  -1.17160051e-06
  144      24283.52870      24763.55440   3.50909174e-03  -3.57623578e-05   4.29238562e-07
  145      24283.47007      24763.55476   3.50973238e-03  -3.51051142e-05   8.60913906e-07
  146      24283.52946      24763.54033   3.50963233e-03  -3.51295513e-05  -4.27213732e-07
  147      24283.44921      24763.56109   3.50961949e-03  -3.51205835e-05   1.61928807e-06
  148      24283.50795      24763.54894   3.50929343e-03  -3.55090516e-05   1.26441642e-07
  149      24283.44900      24763.57987   3.50909548e-03  -3.56957852e-05   3.03683725e-06
  150      24283.54889      24763.55818   3.50887979e-03  -3.60745896e-05   4.61031587e-07
  151      24283.43508      24763.55776   3.50903868e-03  -3.56980171e-05   9.79179191e-07
  152      24283.52761      24763.55579   3.50910874e-03  -3.57954842e-05   4.66129765e-07
  153      24283.47129      24763.55484   3.50967821e-03  -3.50426444e-05   1.09068677e-06
  154      24283.55416      24763.54869   3.50882192e-03  -3.59415140e-05  -7.99054024e-08
  155      24283.50786      24763.57181   3.50876989e-03  -3.61725088e-05   1.74517246e-06
  156      24283.48401      24763.56315   3.50919671e-03  -3.56118011e-05   1.43389067e-06
  157      24283.54593      24763.54225   3.50927127e-03  -3.55701337e-05  -6.15447611e-07
  158      24283.44608      24763.56435   3.50974325e-03  -3.51550336e-05   1.66662911e-06
  159      24283.48849      24763.56366   3.50915141e-03  -3.56858119e-05   1.39693877e-06
  160      24283.46456      24763.56867   3.50914223e-03  -3.56331599e-05   2.01090528e-06
  161      24283.54971      24763.56912   3.50844590e-03  -3.65972504e-05   1.08718689e-06
  162      24283.51570      24763.53741   3.50989619e-03  -3.48722564e-05  -5.75973848e-07
  163      24283.49632      24763.56322   3.50901787e-03  -3.57559570e-05   1.41343884e-06
  164      24283.53077      24763.55555   3.50886682e-03  -3.59322523e-05   5.31281804e-07
  165      24283.57648      24763.54762   3.50909319e-03  -3.57400289e-05  -1.78475925e-07
  166      24283.51637      24763.54490   3.50952155e-03  -3.52752242e-05  -1.21070089e-07
  167      24283.45039      24763.53887   3.51043800e-03  -3.43139718e-05  -9.16768022e-08
  168      24283.43601      24763.55920   3.50984785e-03  -3.49663555e-05   1.40936800e-06
  169      24283.52371      24763.55322   3.50900126e-03  -3.57576181e-05   4.67281247e-07
  170      24283.43395      24763.56579   3.50976410e-03  -3.49991012e-05   2.10734751e-06
  171      24283.51382      24763.55202   3.50920305e-03  -3.55519099e-05   4.73668545e-07
  172      24283.54850      24763.54559   3.50899529e-03  -3.58000908e-05  -3.47581112e-07
  173      24283.50196      24763.56283   3.50907845e-03  -3.58581349e-05   1.06451472e-06
  174      24283.45947      24763.56221   3.50949148e-03  -3.52535865e-05   1.64446212e-06
  175      24283.43417      24763.58057   3.50931714e-03  -3.55217876e-05   3.12803865e-06
  176      24283.46811      24763.57034   3.50909712e-03  -3.56815961e-05   2.14267599e-06
  177      24283.45851      24763.56333   3.50950978e-03  -3.52496418e-05   1.73231753e-06
  178      24283.45365      24763.57020   3.50932106e-03  -3.55194025e-05   2.12169344e-06
  179      24283.48265      24763.57023   3.50914402e-03  -3.58535011e-05   1.68415833e-06
  180      24283.51660      24763.55963   3.50900107e-03  -3.58145520e-05   9.69932695e-07
  181      24283.52418      24763.51987   3.51009808e-03  -3.47502691e-05  -2.33531981e-06
  182      24283.44873      24763.56341   3.50965039e-03  -3.51326177e-05   1.76862904e-06
  183      24283.44208      24763.56267   3.50971579e-03  -3.50227320e-05   1.82930355e-06
  184      24283.49739      24763.54993   3.50951778e-03  -3.52529524e-05   4.16647616e-07
  185      24283.52824      24763.55209   3.50905653e-03  -3.58154943e-05   1.49119940e-07
  186      24283.53157      24763.53920   3.50957540e-03  -3.52192617e-05  -6.39561356e-07
  187      24283.49384      24763.54867   3.50944085e-03  -3.53073086e-05   2.99381944e-07
  188      24283.55383      24763.54827   3.50901878e-03  -3.58612836e-05  -2.56433297e-07
  189      24283.51795      24763.55886   3.50919435e-03  -3.57028366e-05   8.28334254e-07
  190      24283.52903      24763.55722   3.50882366e-03  -3.60380771e-05   5.34454578e-07
  191      24283.47661      24763.55973   3.50921559e-03  -3.54394920e-05   1.44227412e-06
