polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
the distribution of models in this file comes from randomly drawing the gravity moments j2,j4 from a multivariate Gaussian from French et al. 2024 Table 17: Fit 15, Adopted solution.
index         r_pol_km          r_eq_km
  618   24968.69020809   25556.60847128
  619   24968.64365376   25556.60871143
  620   24968.67743638   25556.60858604
  621   24968.72504935   25556.60821469
  622   24968.70969565   25556.60853269
  623   24968.69884605   25556.60863096
  624   24968.70780287   25556.60848936
  625   24968.67329337   25556.60863531
  626   24968.66551752   25556.60881156
  627   24968.76718113   25556.60841804
  628   24968.68465769   25556.60859341
  629   24968.68156923   25556.60859069
  630   24968.67524293   25556.60857162
  631   24968.69221238   25556.60860377
  632   24968.64015261   25556.60861254
  633   24968.68559301   25556.60849226
  634   24968.69799759   25556.60859555
  635   24968.72354357   25556.60835451
  636   24968.71830407   25556.60844132
  637   24968.66860948   25556.60862549
  638   24968.70140898   25556.60859382
  639   24968.74232282   25556.60825491
  640   24968.70972226   25556.60846882
  641   24968.67837097   25556.60854977
  642   24968.66737272   25556.60863101
  643   24968.62802815   25556.60878885
  644   24968.68990094   25556.60858117
  645   24968.65136709   25556.60863989
  646   24968.69062798   25556.60847500
  647   24968.66318663   25556.60852156
  648   24968.67711234   25556.60852219
  649   24968.63000825   25556.60873759
  650   24968.64061461   25556.60856740
  651   24968.68879462   25556.60859192
  652   24968.63204523   25556.60868513
  653   24968.68188304   25556.60851935
  654   24968.69770270   25556.60849881
  655   24968.70068538   25556.60857470
  656   24968.64017502   25556.60862270
  657   24968.68685378   25556.60856550
  658   24968.71295628   25556.60842157
  659   24968.68948222   25556.60859503
  660   24968.68391475   25556.60854359
  661   24968.66012030   25556.60854448
  662   24968.67229448   25556.60864431
  663   24968.68229886   25556.60849025
  664   24968.67314384   25556.60855741
  665   24968.70684667   25556.60841099
  666   24968.70025053   25556.60846455
  667   24968.72492807   25556.60837670
  668   24968.65860312   25556.60864924
  669   24968.72095847   25556.60848785
  670   24968.68352097   25556.60883395
  671   24968.65200052   25556.60866495
  672   24968.67694037   25556.60865455
  673   24968.74100237   25556.60850437
  674   24968.65709759   25556.60858944
  675   24968.69766809   25556.60845317
  676   24968.67263747   25556.60845234
  677   24968.68274816   25556.60857714
  678   24968.67981217   25556.60860292
  679   24968.74735134   25556.60834330
  680   24968.67740485   25556.60853956
  681   24968.62698869   25556.60869967
  682   24968.66614214   25556.60870926
  683   24968.66377415   25556.60858023
  684   24968.75461255   25556.60830058
  685   24968.62028800   25556.60881385
  686   24968.66329714   25556.60852927
  687   24968.74179297   25556.60840207
  688   24968.71111297   25556.60854018
  689   24968.68070194   25556.60851358
  690   24968.58767268   25556.60881441
  691   24968.68291163   25556.60852057
  692   24968.65926496   25556.60860420
  693   24968.69716921   25556.60857108
  694   24968.73854924   25556.60839436
  695   24968.64270402   25556.60870637
  696   24968.75057292   25556.60833352
  697   24968.70284198   25556.60861417
  698   24968.70033617   25556.60852275
  699   24968.69322633   25556.60844264
  700   24968.62806022   25556.60881959
  701   24968.76913177   25556.60844453
  702   24968.62917156   25556.60879169
  703   24968.65364712   25556.60877539
  704   24968.65239071   25556.60859689
  705   24968.69187608   25556.60859861
  706   24968.69821201   25556.60857508
  707   24968.67016271   25556.60843325
  708   24968.66448689   25556.60861304
  709   24968.71779570   25556.60851366
  710   24968.67908912   25556.60871251
  711   24968.69017582   25556.60864316
  712   24968.64760506   25556.60862232
  713   24968.68400669   25556.60866193
  714   24968.69092277   25556.60863517
  715   24968.70258205   25556.60849227
  716   24968.64643733   25556.60875515
  717   24968.69840698   25556.60875082
  718   24968.66525199   25556.60870489
  719   24968.71161442   25556.60844438
  720   24968.62700285   25556.60874553
  721   24968.66700609   25556.60849766
  722   24968.72381569   25556.60847215
  723   24968.68539163   25556.60859493
  724   24968.64728993   25556.60861263
  725   24968.68529477   25556.60851238
  726   24968.67373152   25556.60854725
  727   24968.67627940   25556.60874896
  728   24968.68845862   25556.60857090
  729   24968.70202631   25556.60859873
  730   24968.68908486   25556.60861336
  731   24968.67162413   25556.60860369
  732   24968.65896006   25556.60857397
  733   24968.65611691   25556.60862300
  734   24968.73527810   25556.60855884
  735   24968.70599063   25556.60849847
  736   24968.66995556   25556.60865920
  737   24968.70906521   25556.60847897
  738   24968.68614247   25556.60856666
  739   24968.71146798   25556.60851964
  740   24968.63896029   25556.60874801
  741   24968.69294747   25556.60848331
  742   24968.71472471   25556.60840949
  743   24968.70176264   25556.60853675
  744   24968.66055646   25556.60866668
  745   24968.65996487   25556.60861720
  746   24968.68664579   25556.60839434
  747   24968.65774653   25556.60873311
  748   24968.65207011   25556.60863686
  749   24968.69733067   25556.60859170
  750   24968.73977242   25556.60846365
  751   24968.69649718   25556.60846817
  752   24968.69938470   25556.60849034
  753   24968.69889952   25556.60851660
  754   24968.68682396   25556.60849171
  755   24968.66985485   25556.60855473
  756   24968.70612113   25556.60841808
  757   24968.71091355   25556.60845478
  758   24968.66780293   25556.60858481
  759   24968.66481377   25556.60871329
  760   24968.70489964   25556.60843237
  761   24968.67669419   25556.60874065
  762   24968.63856450   25556.60859449
  763   24968.71357595   25556.60840091
  764   24968.69298815   25556.60855782
  765   24968.68514022   25556.60847020
  766   24968.70668825   25556.60852382
  767   24968.68959522   25556.60850936
  768   24968.72420783   25556.60847868
  769   24968.68288873   25556.60865312
  770   24968.67241100   25556.60845120
  771   24968.68556846   25556.60858663
  772   24968.66865654   25556.60857905
  773   24968.66866084   25556.60862097
  774   24968.66730292   25556.60858271
  775   24968.66425586   25556.60870145
  776   24968.67334700   25556.60860880
  777   24968.69708445   25556.60867207
  778   24968.72573794   25556.60834652
  779   24968.71313698   25556.60855683
  780   24968.70916578   25556.60842015
  781   24968.67556495   25556.60845649
  782   24968.64775657   25556.60872673
  783   24968.63778744   25556.60870502
  784   24968.62630610   25556.60867222
  785   24968.58599860   25556.60880206
  786   24968.65196452   25556.60870368
  787   24968.62206669   25556.60873318
  788   24968.71660658   25556.60855943
  789   24968.66106127   25556.60868012
  790   24968.67220142   25556.60847131
  791   24968.70797869   25556.60846132
  792   24968.66230704   25556.60865483
  793   24968.64502243   25556.60876635
  794   24968.73972642   25556.60842861
  795   24968.65070877   25556.60871657
  796   24968.66164042   25556.60857706
  797   24968.70307112   25556.60853766
  798   24968.70544596   25556.60848159
  799   24968.65302817   25556.60863192
  800   24968.73388285   25556.60833318
  801   24968.64472995   25556.60867842
