polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
the distribution of models in this file comes from randomly drawing the near-equatorial occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
  331   24966.47768585   25554.24901168
  332   24964.13917738   25551.74836711
  333   24967.88531978   25555.75428758
  334   24963.84027526   25551.42886322
  335   24968.74044363   25556.66856397
  336   24972.00198215   25560.15632413
  337   24967.42395063   25555.26080633
  338   24963.42539953   25550.98524889
  339   24962.18557971   25549.65960945
  340   24969.49668642   25557.47721595
  341   24964.65635866   25552.30152575
  342   24967.05757595   25554.86916695
  343   24964.86271251   25552.52213782
  344   24966.42762954   25554.19541472
  345   24973.45077267   25561.70561243
  346   24965.13673689   25552.81509677
  347   24968.35642597   25556.25791639
  348   24963.61647931   25551.18961249
  349   24966.18787857   25553.93918814
  350   24966.73323322   25554.52229148
  351   24966.65663978   25554.44036425
  352   24967.75764009   25555.61762409
  353   24963.50946468   25551.07522843
  354   24967.14365504   25554.96106543
  355   24975.27716187   25563.65864845
  356   24964.50105012   25552.13539522
  357   24972.26394513   25560.43630232
  358   24978.54804941   25567.15657815
  359   24967.56327026   25555.40974626
  360   24975.01547994   25563.37881767
  361   24962.60918489   25550.11245892
  362   24974.47291308   25562.79861113
  363   24969.63384994   25557.62380251
  364   24974.40161004   25562.72231140
  365   24964.49374450   25552.12761395
  366   24969.42580506   25557.40143221
  367   24963.31905077   25550.87158319
  368   24967.13303819   25554.94965952
  369   24960.60393736   25547.96844406
  370   24968.29671138   25556.19413287
  371   24964.66551238   25552.31119287
  372   24965.39641450   25553.09285443
  373   24972.54069085   25560.73230484
  374   24957.57135390   25544.72582904
  375   24964.25058839   25551.86762863
  376   24964.28355082   25551.90275707
  377   24970.42142144   25558.46599266
  378   24973.99493354   25562.28747855
  379   24967.50116460   25555.34343523
  380   24966.32820465   25554.08906374
  381   24973.93214280   25562.22030485
  382   24970.67016923   25558.73214741
  383   24968.60735880   25556.52623881
  384   24973.92674652   25562.21453606
  385   24969.12588192   25557.08067879
  386   24965.81525626   25553.54067516
  387   24974.53686386   25562.86705667
  388   24970.25683254   25558.29006624
  389   24965.57146997   25553.28003056
  390   24963.72502074   25551.30558753
  391   24968.13929994   25556.02575572
  392   24969.93045802   25557.94110142
  393   24967.29348365   25555.12137356
  394   24966.07923225   25553.82289890
  395   24968.93713874   25556.87897638
  396   24976.73220934   25565.21466518
  397   24970.36509702   25558.40594010
  398   24971.21626980   25559.31607038
  399   24968.25067684   25556.14491293
  400   24970.67097059   25558.73284908
  401   24968.78956721   25556.72107402
  402   24972.03330637   25560.18980038
  403   24967.87187560   25555.73981341
  404   24971.46463196   25559.58166151
  405   24969.16517747   25557.12264519
  406   24972.19445346   25560.36212816
  407   24962.71883306   25550.22971235
  408   24967.02273327   25554.83177792
  409   24977.62343089   25566.16774484
  410   24976.84386656   25565.33410738
  411   24980.82772191   25569.59447513
  412   24970.96382115   25559.04603913
  413   24967.41973902   25555.25633686
  414   24972.76574447   25560.97296075
  415   24966.31772243   25554.07791446
  416   24973.57602295   25561.83942960
  417   24964.00361250   25551.60346928
  418   24972.28556087   25560.45957671
  419   24960.93451773   25548.32196085
  420   24968.83543000   25556.77011604
  421   24977.05109663   25565.55567483
  422   24960.19667323   25547.53293818
  423   24970.52002911   25558.57159300
  424   24966.38053580   25554.14512932
  425   24976.20046856   25564.64593260
  426   24960.03975221   25547.36517879
  427   24962.25099075   25549.72943773
  428   24979.74700819   25568.43874727
  429   24966.57308261   25554.35101978
  430   24968.04291719   25555.92271220
  431   24966.76568644   25554.55693626
  432   24971.51460590   25559.63503337
  433   24966.84124328   25554.63780532
  434   24967.55549646   25555.40161686
  435   24964.21550330   25551.83010713
  436   24969.57809873   25557.56421293
  437   24970.86280706   25558.93805410
  438   24973.97078150   25562.26160905
  439   24971.37059509   25559.48108471
  440   24970.33457549   25558.37321892
  441   24968.35218323   25556.25342191
  442   24975.08264490   25563.45055432
  443   24962.59289044   25550.09504610
  444   24966.10557388   25553.85113759
  445   24966.44184334   25554.21068546
  446   24964.86403146   25552.52348183
  447   24969.76765763   25557.76688842
  448   24967.43807510   25555.27589500
  449   24971.56694043   25559.69103155
  450   24963.51546697   25551.08161430
  451   24969.15019417   25557.10672389
  452   24975.25937359   25563.63957851
  453   24964.40451736   25552.03216074
  454   24966.16156961   25553.91097345
  455   24969.93037293   25557.94095186
  456   24965.37534845   25553.07028093
  457   24965.51561627   25553.22024148
  458   24966.01671810   25553.75605873
  459   24967.34781162   25555.17932779
  460   24964.75730895   25552.40942585
  461   24982.28389000   25571.15170538
  462   24964.03434260   25551.63626548
  463   24967.44835144   25555.28692899
  464   24977.00201244   25565.50313075
  465   24968.84288778   25556.77814822
  466   24969.04708552   25556.99652940
  467   24959.49135600   25546.77888515
  468   24972.24770096   25560.41902813
  469   24970.90691042   25558.98524113
  470   24968.57984900   25556.49675343
  471   24964.02188699   25551.62310780
  472   24966.17498073   25553.92541757
  473   24968.24385591   25556.13740723
  474   24973.25713601   25561.49849022
  475   24969.94730371   25557.95917401
  476   24958.50460588   25545.72377373
  477   24961.15981094   25548.56284722
  478   24965.91107889   25553.64310143
  479   24973.52905670   25561.78919502
  480   24960.65840257   25548.02678316
  481   24968.22714298   25556.11966967
  482   24966.79047919   25554.58354638
  483   24967.35633578   25555.18858198
  484   24973.04065958   25561.26699388
  485   24973.79983136   25562.07878141
  486   24969.19602412   25557.15578272
  487   24960.22538747   25547.56367903
  488   24973.00926647   25561.23346269
  489   24974.00954701   25562.30306042
  490   24964.59782508   25552.23886704
  491   24964.50236149   25552.13680739
  492   24975.29864656   25563.68154235
  493   24964.48807465   25552.12151270
  494   24973.42952224   25561.68274688
  495   24970.37361809   25558.41507277
  496   24972.31608983   25560.49209320
  497   24968.89838402   25556.83754097
  498   24972.09290705   25560.25342584
  499   24960.45896503   25547.81342577
  500   24964.19498729   25551.80811366
  501   24964.39375682   25552.02072194
  502   24965.65283221   25553.36699877
  503   24968.25670239   25556.15126248
  504   24970.77455462   25558.84372269
