polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the composite asymmetric wind profile from Sromovsky et al. (2015, Icarus 258) Section 4.5 and Table 6.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index   r_pol_north_km   r_pol_south_km          r_eq_km              lnp
  187        24974.853        24969.472        25562.812       -1.306e+00
  188        24976.396        24971.015        25564.462       -2.165e+00
  189        24967.514        24962.140        25554.967       -1.950e-01
  190        24970.164        24964.788        25557.799       -2.845e-02
  191        24974.853        24969.472        25562.812       -1.306e+00
  192        24976.396        24971.015        25564.462       -2.165e+00
  193        24967.859        24962.485        25555.335       -1.370e-01
  194        24970.164        24964.788        25557.799       -2.845e-02
  195        24974.121        24968.742        25562.030       -9.740e-01
  196        24976.192        24970.811        25564.244       -2.039e+00
  197        24967.859        24962.485        25555.335       -1.370e-01
  198        24971.739        24966.361        25559.483       -2.334e-01
  199        24975.540        24970.159        25563.546       -1.661e+00
  200        24976.084        24970.703        25564.128       -1.974e+00
  201        24963.521        24958.150        25550.698       -1.658e+00
  202        24970.704        24965.328        25558.377       -7.323e-02
  203        24975.540        24970.159        25563.546       -1.661e+00
  204        24976.084        24970.703        25564.128       -1.974e+00
  205        24963.521        24958.150        25550.698       -1.658e+00
  206        24971.815        24966.437        25559.564       -2.490e-01
  207        24973.340        24967.960        25561.194       -6.739e-01
  208        24971.495        24966.118        25559.223       -1.869e-01
  209        24969.980        24964.605        25557.603       -1.933e-02
  210        24971.769        24966.391        25559.515       -2.395e-01
  211        24976.616        24971.234        25564.697       -2.305e+00
  212        24973.156        24967.777        25560.999       -6.116e-01
  213        24969.274        24963.899        25556.848       -1.285e-02
  214        24967.932        24962.558        25555.413       -1.261e-01
  215        24976.616        24971.234        25564.697       -2.305e+00
  216        24973.156        24967.777        25560.999       -6.116e-01
  217        24967.360        24961.986        25554.802       -2.245e-01
  218        24967.932        24962.558        25555.413       -1.261e-01
  219        24976.616        24971.234        25564.697       -2.305e+00
  220        24973.156        24967.777        25560.999       -6.116e-01
  221        24966.936        24961.562        25554.348       -3.166e-01
  222        24967.894        24962.520        25555.373       -1.317e-01
  223        24972.927        24967.549        25560.754       -5.381e-01
  224        24973.118        24967.739        25560.957       -5.989e-01
  225        24966.848        24961.474        25554.254       -3.379e-01
  226        24967.894        24962.520        25555.373       -1.317e-01
  227        24972.899        24967.521        25560.723       -5.293e-01
  228        24973.068        24967.690        25560.905       -5.828e-01
  229        24966.848        24961.474        25554.254       -3.379e-01
  230        24966.671        24961.298        25554.066       -3.824e-01
  231        24974.866        24969.486        25562.826       -1.312e+00
  232        24973.068        24967.690        25560.905       -5.828e-01
  233        24966.848        24961.474        25554.254       -3.379e-01
  234        24966.571        24961.198        25553.958       -4.091e-01
