polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the h-band 2014 wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing wind fit coefficients from Gaussians with means and standard deviations from Table 1 (polynomial profiles).
index         r_pol_km          r_eq_km
  288   24362.29811206   24765.05575985
  289   24299.35671561   24766.47970927
  290   24207.73654212   24778.85703307
  291   24419.66962220   24766.59272850
  292   24422.73828059   24758.87166570
  293   24230.10930721   24762.41775966
  294   24365.08271015   24770.45480051
  295   24326.71944171   24767.69774108
  296   24304.91421043   24774.99161806
  297   24327.39853354   24764.01381908
  298   24409.26032735   24760.23714980
  299   24242.22990881   24769.98044602
  300   24395.90191005   24765.57663427
  301   24313.91942609   24772.24773482
  302   24193.59098990   24774.51542903
  303   24181.50081913   24773.51600448
  304   24331.27707208   24769.40907028
  305   24398.25584951   24773.42292837
  306   24376.27413750   24764.61073955
  307   24345.30378375   24772.76858417
  308   24172.83111728   24775.34844992
  309   24348.10420715   24773.60933763
  310   24384.93574367   24765.17848706
  311   24189.19194040   24769.21715425
  312   24206.43412224   24776.44623520
  313   24291.61869329   24771.27796955
  314   24359.64923305   24765.93844894
  315   24380.69086399   24768.97425879
  316   24254.80588638   24778.37321610
  317   24295.09250421   24776.77888797
  318   24305.45400993   24769.13026391
  319   24398.55585283   24766.90222283
  320   24216.32224212   24776.04491639
  321   24253.16145869   24766.85900718
  322   24338.09207163   24767.94929656
  323   24397.43846362   24764.33887689
  324   24397.88627504   24764.12828969
  325   24195.10953366   24774.03127168
  326   24323.36791544   24766.14788123
  327   24244.75163203   24769.33579355
  328   24415.14857046   24764.55214169
  329   24437.16816283   24759.36451359
  330   24230.15552248   24768.83919784
  331   24306.26481653   24769.58763804
  332   24108.94844703   24783.08388604
  333   24227.55141561   24770.27736976
  334   24050.10381796   24777.21151271
  335   24187.11304563   24776.36179766
  336   24275.23076773   24768.29171723
  337   24275.53405712   24761.24148450
  338   24334.92442829   24772.30918100
  339   24321.67713635   24769.56885192
  340   24249.51306728   24775.76217541
  341   24095.64831557   24777.24141659
  342   24423.68399576   24761.43437103
  343   24389.10821175   24765.43964653
  344   24246.47117760   24769.95338793
  345   24255.99582805   24773.22533526
  346   24406.74099838   24764.26516198
  347   24204.76192246   24774.97332072
  348   24291.23404166   24764.17808781
  349   24394.46682878   24763.66255110
  350   24236.34320824   24771.56872411
  351   24421.59305377   24766.57605904
  352   24271.16293459   24769.54142917
  353   24357.14854634   24760.87454971
  354   24058.23905028   24778.79228885
  355   24271.49894444   24766.71024685
  356   24422.68782239   24761.08246811
  357   24074.66962703   24776.83928277
  358   24227.98665423   24772.06706454
  359   24320.42258717   24768.88024303
  360   24339.05680862   24768.19429960
  361   24395.31943812   24762.56761834
  362   24153.77596921   24771.64684361
  363   24339.69520238   24769.21288224
  364   24428.19212600   24758.90642720
  365   24254.07834502   24774.62896471
  366   24046.00455101   24777.80026157
  367   24381.51763063   24766.97073854
  368   24355.41648608   24763.04694601
  369   24181.67655595   24780.18264182
  370   24215.74568968   24771.27417999
  371   24296.68801674   24772.90831409
  372   24400.90222771   24759.19186578
  373   24194.86226755   24769.04695327
  374   24271.43719856   24769.23369157
  375   24302.10230516   24774.25671504
  376   24364.91134775   24772.53505297
  377   24338.06248126   24766.87669259
  378   24431.64991459   24760.24986094
  379   24376.57321305   24759.83615981
  380   24123.09750834   24769.99157571
  381   24348.24444692   24772.86765233
  382   24284.04180267   24769.93664409
  383   24248.12906317   24773.04169871
  384   24360.61401636   24769.46138888
  385   24276.24542496   24772.71479273
  386   24128.50025891   24773.79638604
  387   24402.89272084   24767.37901131
  388   24303.33493474   24777.51473876
  389   24391.85103554   24768.97248628
  390   24415.91986904   24760.37955061
  391   24352.35771891   24767.63013550
  392   24358.28652392   24771.70478972
  393   24313.08896148   24771.20341349
  394   24252.17672366   24774.15391393
  395   24424.37319902   24764.60394214
  396   24290.92177422   24775.51584847
  397   24299.07262435   24766.21137916
  398   24304.27025121   24773.64446450
  399   24369.08277117   24765.60639069
  400   23871.28940027   24781.03428332
  401   24352.40516044   24766.09520945
  402   24127.91609471   24775.48483783
  403   24418.52223073   24762.79715554
  404   24187.76071331   24779.31364742
  405   24248.24223568   24770.59226320
  406   24350.73306877   24767.20274621
  407   24278.88270537   24774.76692948
  408   24204.22997636   24770.37420781
  409   24383.20892222   24769.84398345
  410   24344.81708156   24768.16836322
  411   24282.93048838   24764.99952436
  412   24332.04104854   24771.58256489
  413   24219.07466850   24767.47750344
  414   24194.30761850   24771.02181701
  415   24291.76102770   24765.76346939
  416   24342.66957971   24771.01513220
  417   24445.36672862   24755.99162829
  418   24242.60191074   24773.28718743
  419   24382.31790010   24763.28586490
  420   24350.48708963   24767.38522995
  421   24216.29806209   24771.35108911
  422   24253.35568756   24773.06401974
  423   24274.33378416   24772.24119509
  424   24311.89576983   24769.40818449
  425   24178.62577821   24777.41102068
  426   24245.48104959   24761.35604414
  427   24258.03697770   24776.10059372
  428   24393.45937974   24759.53162210
  429   24415.75207068   24764.01311170
  430   24425.22822156   24763.73634308
  431   24393.10965236   24764.78963136
  432   24293.15516187   24765.60695622
  433   24398.44654380   24764.45618121
  434   24250.89440283   24768.27991284
  435   24412.64160180   24766.90544299
  436   24080.72053501   24772.27876377
  437   24404.68246028   24765.87910544
  438   24397.73043698   24770.38714134
  439   24243.52571468   24771.60290437
  440   24333.19640854   24769.82228086
  441   24326.88602779   24769.71779449
  442   24281.89831584   24770.91717541
