polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the French et al. (2024, Icarus 411) error ellipsoid,
followed by direct integration of Equation (3) from one of the Voyager 2 radio points reported in Lindal et al. 1987 to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
  144      24968.85816      25556.62054   3.50912214e-03  -3.55283908e-05   1.44626907e-06
  145      24968.86497      25556.62052   3.50908118e-03  -3.56225535e-05   1.35026337e-06
  146      24968.86996      25556.62010   3.50949575e-03  -3.52196842e-05   5.30731376e-07
  147      24968.85611      25556.62064   3.50914447e-03  -3.56865570e-05   1.57548120e-06
  148      24968.82854      25556.62057   3.50951440e-03  -3.51361809e-05   1.65077986e-06
  149      24968.88856      25556.62032   3.50899610e-03  -3.57963947e-05   8.06155541e-07
  150      24968.84056      25556.62047   3.50958958e-03  -3.53032784e-05   1.31806546e-06
  151      24968.78410      25556.62090   3.50981538e-03  -3.49180876e-05   2.46876532e-06
  152      24968.83229      25556.62082   3.50919552e-03  -3.54938170e-05   2.08986995e-06
  153      24968.87742      25556.62034   3.50902958e-03  -3.55750815e-05   9.79459036e-07
  154      24968.84840      25556.61997   3.51000604e-03  -3.48016066e-05   3.42756274e-07
  155      24968.89023      25556.62022   3.50912188e-03  -3.57250495e-05   5.94367922e-07
  156      24968.92369      25556.61966   3.50930853e-03  -3.55444895e-05  -6.31415151e-07
  157      24968.89236      25556.62028   3.50900522e-03  -3.58208367e-05   7.10506811e-07
  158      24968.84291      25556.62060   3.50934648e-03  -3.54375487e-05   1.59083348e-06
  159      24968.91366      25556.62030   3.50875005e-03  -3.61529489e-05   6.17211612e-07
  160      24968.88650      25556.62046   3.50893274e-03  -3.59390459e-05   1.07299226e-06
  161      24968.88834      25556.62023   3.50918351e-03  -3.57610105e-05   5.98283598e-07
  162      24968.95851      25556.61961   3.50886821e-03  -3.59933864e-05  -8.94552425e-07
  163      24968.88909      25556.61980   3.50964388e-03  -3.52135204e-05  -1.89566682e-07
  164      24968.91491      25556.61941   3.50966542e-03  -3.50875629e-05  -1.03795636e-06
  165      24968.85725      25556.62042   3.50926199e-03  -3.54105006e-05   1.20004457e-06
  166      24968.79077      25556.62068   3.50991082e-03  -3.47125087e-05   2.05721713e-06
  167      24968.87574      25556.62060   3.50888812e-03  -3.59080645e-05   1.41868515e-06
  168      24968.81768      25556.62147   3.50881222e-03  -3.61390732e-05   3.30913659e-06
  169      24968.88207      25556.62064   3.50875710e-03  -3.60608157e-05   1.46264566e-06
  170      24968.88127      25556.62044   3.50904238e-03  -3.58505814e-05   1.05409120e-06
  171      24968.84689      25556.62059   3.50928779e-03  -3.54705489e-05   1.56229866e-06
  172      24968.82837      25556.62032   3.50983797e-03  -3.48732567e-05   1.14584906e-06
  173      24968.87296      25556.62037   3.50915835e-03  -3.56316124e-05   9.84897131e-07
  174      24968.76928      25556.62069   3.51026220e-03  -3.44511710e-05   2.14782838e-06
  175      24968.88162      25556.62019   3.50922282e-03  -3.54886544e-05   6.40557164e-07
  176      24968.81461      25556.62117   3.50912901e-03  -3.56964582e-05   2.79907339e-06
  177      24968.80556      25556.62074   3.50974396e-03  -3.50773421e-05   2.02767333e-06
  178      24968.91238      25556.62082   3.50818670e-03  -3.67460121e-05   1.60432092e-06
  179      24968.89953      25556.61993   3.50923695e-03  -3.54312874e-05   7.21108657e-08
  180      24968.84881      25556.62029   3.50958692e-03  -3.51512347e-05   9.89334696e-07
  181      24968.89483      25556.62052   3.50878512e-03  -3.61540245e-05   1.12069462e-06
  182      24968.91005      25556.62027   3.50880547e-03  -3.61175799e-05   5.60774372e-07
  183      24968.87214      25556.62091   3.50861540e-03  -3.62442767e-05   2.00670320e-06
  184      24968.82800      25556.62110   3.50898261e-03  -3.58477431e-05   2.58288634e-06
  185      24968.79887      25556.62093   3.50964126e-03  -3.52247932e-05   2.41089064e-06
  186      24968.81937      25556.62060   3.50966548e-03  -3.50863531e-05   1.71425327e-06
  187      24968.82941      25556.62085   3.50926307e-03  -3.55319960e-05   2.12105884e-06
  188      24968.89957      25556.62004   3.50921349e-03  -3.56336303e-05   2.19485702e-07
  189      24968.82691      25556.62036   3.50982996e-03  -3.49517685e-05   1.20912617e-06
  190      24968.84706      25556.62034   3.50954055e-03  -3.51908705e-05   1.08039311e-06
  191      24968.84291      25556.62031   3.50967666e-03  -3.51218984e-05   1.01644483e-06
  192      24968.88605      25556.61989   3.50949099e-03  -3.51907480e-05   4.94230527e-08
  193      24968.81819      25556.62095   3.50931677e-03  -3.54950083e-05   2.36290027e-06
  194      24968.84309      25556.62044   3.50942688e-03  -3.52110015e-05   1.32114397e-06
  195      24968.86036      25556.62016   3.50955953e-03  -3.51537223e-05   6.91672088e-07
  196      24968.81107      25556.62148   3.50885770e-03  -3.60258301e-05   3.38506954e-06
  197      24968.81362      25556.62062   3.50969571e-03  -3.50160577e-05   1.80689121e-06
  198      24968.89462      25556.62073   3.50854924e-03  -3.64071339e-05   1.52607460e-06
  199      24968.84659      25556.62037   3.50956033e-03  -3.52748473e-05   1.10975882e-06
  200      24968.82932      25556.62101   3.50911837e-03  -3.57464252e-05   2.40394309e-06
  201      24968.93950      25556.61999   3.50870862e-03  -3.61511059e-05  -8.33730788e-08
  202      24968.88546      25556.61991   3.50950708e-03  -3.52399615e-05   7.87257070e-08
  203      24968.83725      25556.62099   3.50898271e-03  -3.58172779e-05   2.36506718e-06
  204      24968.86953      25556.62066   3.50893367e-03  -3.59151337e-05   1.54489425e-06
  205      24968.76491      25556.62120   3.50975291e-03  -3.49831838e-05   3.14065601e-06
  206      24968.84398      25556.62083   3.50914007e-03  -3.57663946e-05   1.97073358e-06
  207      24968.92156      25556.61955   3.50942345e-03  -3.53642827e-05  -8.01173652e-07
  208      24968.87841      25556.61993   3.50964423e-03  -3.52180866e-05   1.11404231e-07
  209      24968.86248      25556.62041   3.50928537e-03  -3.55616773e-05   1.08638969e-06
  210      24968.80677      25556.62082   3.50964208e-03  -3.52022301e-05   2.16907019e-06
  211      24968.87952      25556.62050   3.50904988e-03  -3.59405907e-05   1.14805972e-06
  212      24968.88442      25556.61984   3.50960765e-03  -3.51422641e-05  -5.74432265e-08
  213      24968.88095      25556.62055   3.50893170e-03  -3.59824354e-05   1.26434437e-06
  214      24968.85203      25556.62040   3.50938190e-03  -3.53302227e-05   1.18043425e-06
  215      24968.82117      25556.62046   3.50975123e-03  -3.49589753e-05   1.44888912e-06
  216      24968.87104      25556.62058   3.50911466e-03  -3.59334130e-05   1.31387234e-06
  217      24968.84368      25556.62084   3.50904481e-03  -3.57047440e-05   2.04845008e-06
