polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index         r_pol_km          r_eq_km              lnp 
  248        24963.450        25551.786       -1.146e+00
  249        24970.794        25559.638       -2.636e-01
  250        24977.087        25566.367       -3.429e+00
  251        24977.827        25567.159       -4.039e+00
  252        24963.450        25551.786       -1.146e+00
  253        24967.171        25555.764       -8.319e-02
  254        24977.087        25566.367       -3.429e+00
  255        24977.827        25567.159       -4.039e+00
  256        24970.108        25558.904       -1.374e-01
  257        24967.171        25555.764       -8.319e-02
  258        24977.087        25566.367       -3.429e+00
  259        24977.827        25567.159       -4.039e+00
  260        24969.729        25558.499       -8.613e-02
  261        24967.379        25555.987       -6.106e-02
  262        24976.874        25566.140       -3.263e+00
  263        24976.725        25565.980       -3.148e+00
  264        24968.747        25557.449       -1.429e-02
  265        24963.291        25551.616       -1.220e+00
  266        24976.874        25566.140       -3.263e+00
  267        24974.424        25563.520       -1.648e+00
  268        24971.970        25560.896       -5.802e-01
  269        24966.171        25554.695       -2.446e-01
  270        24977.145        25566.429       -3.474e+00
  271        24973.944        25563.006       -1.396e+00
  272        24971.970        25560.896       -5.802e-01
  273        24966.171        25554.695       -2.446e-01
  274        24977.145        25566.429       -3.474e+00
  275        24972.752        25561.731       -8.604e-01
  276        24971.970        25560.896       -5.802e-01
  277        24968.950        25557.666       -2.191e-02
  278        24977.145        25566.429       -3.474e+00
  279        24973.822        25562.876       -1.335e+00
  280        24972.039        25560.969       -6.026e-01
  281        24966.714        25555.275       -1.456e-01
  282        24977.145        25566.429       -3.474e+00
  283        24972.923        25561.914       -9.293e-01
  284        24972.603        25561.572       -8.029e-01
  285        24966.714        25555.275       -1.456e-01
  286        24976.866        25566.131       -3.256e+00
  287        24972.852        25561.838       -9.004e-01
  288        24970.443        25559.263       -1.937e-01
  289        24966.714        25555.275       -1.456e-01
  290        24975.210        25564.360       -2.106e+00
  291        24972.852        25561.838       -9.004e-01
  292        24967.752        25556.386       -3.135e-02
  293        24968.634        25557.329       -1.169e-02
  294        24974.418        25563.513       -1.645e+00
  295        24973.877        25562.935       -1.362e+00
  296        24966.369        25554.906       -2.054e-01
  297        24969.037        25557.760       -2.636e-02
