polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
these models assume the h-band 2014 wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing the occultation radius from a Gaussian with standard deviation equal to 5 km.
index         r_pol_km          r_eq_km
  254   24312.44892874   24770.11931141
  255   24316.89540454   24774.78397490
  256   24322.62639809   24780.79640821
  257   24315.88762707   24773.72673286
  258   24303.97810857   24761.23324422
  259   24313.24834193   24770.95794061
  260   24307.79138099   24765.23337934
  261   24299.04529031   24756.05886520
  262   24309.85897584   24767.40233908
  263   24313.37308007   24771.08879833
  264   24320.46521689   24778.52906568
  265   24309.78473082   24767.32445360
  266   24313.74721450   24771.48128831
  267   24319.32418709   24777.33200061
  268   24309.53439907   24767.06184762
  269   24309.16169231   24766.67086725
  270   24311.60094899   24769.22973848
  271   24308.39018380   24765.86153544
  272   24302.51633743   24759.69987075
  273   24317.10749942   24775.00648098
  274   24321.72964852   24779.85560430
  275   24311.67034984   24769.30254321
  276   24315.40561169   24773.22106152
  277   24304.24902656   24761.51743444
  278   24320.43660613   24778.49904974
  279   24315.40832500   24773.22390799
  280   24307.04520961   24764.45063448
  281   24307.37904427   24764.80083147
  282   24313.01435412   24770.71247379
  283   24314.17662715   24771.93176984
  284   24309.78835503   24767.32825551
  285   24320.86608630   24778.94962388
  286   24316.67998550   24774.55798183
  287   24317.11851323   24775.01803543
  288   24314.14149943   24771.89491855
  289   24318.84739220   24776.83179354
  290   24310.42863992   24767.99993692
  291   24317.22793521   24775.13282881
  292   24319.55397791   24777.57307552
  293   24316.66772579   24774.54512036
  294   24313.41776076   24771.13567106
  295   24309.03850307   24766.54163834
  296   24312.35087783   24770.01645085
  297   24306.88908668   24764.28685974
  298   24305.54810319   24762.88016033
  299   24314.77432577   24772.55879652
  300   24312.96267549   24770.65825996
  301   24306.13811005   24763.49907925
  302   24313.41270040   24771.13036244
  303   24318.91062190   24776.89812792
  304   24312.23963388   24769.89975019
  305   24317.72649556   24775.65586401
  306   24305.24115556   24762.55817241
  307   24311.37752185   24768.99535320
  308   24316.05493649   24773.90225377
  309   24317.05411457   24774.95047557
  310   24313.06972591   24770.77056198
  311   24309.08857649   24766.59416672
  312   24316.16352896   24774.01617603
  313   24314.97526793   24772.76959919
  314   24313.49330073   24771.21491707
  315   24305.91396336   24763.26394840
  316   24306.44042436   24763.81620887
  317   24316.81032468   24774.69471878
  318   24309.52612716   24767.05317014
  319   24319.69287431   24777.71879274
  320   24303.52884472   24760.76197223
  321   24311.21181584   24768.82152027
  322   24310.38222553   24767.95124648
  323   24309.27035080   24766.78485309
  324   24316.61341290   24774.48814154
  325   24312.44059799   24770.11057201
  326   24306.35506122   24763.72666232
  327   24321.62408264   24779.74485272
  328   24314.32111359   24772.08334574
  329   24314.26652852   24772.02608235
  330   24303.80835266   24761.05517228
  331   24306.70191922   24764.09051919
  332   24321.80076725   24779.93021663
  333   24318.58633262   24776.55791581
  334   24304.79113514   24762.08610249
  335   24313.62094327   24771.34882192
  336   24313.53467048   24771.25831646
  337   24313.44963907   24771.16911334
  338   24302.36794914   24759.54421482
  339   24317.34619143   24775.25689018
  340   24317.45633800   24775.37244390
  341   24302.46676115   24759.64786635
  342   24305.43140240   24762.75774117
  343   24305.04046385   24762.34764729
  344   24308.27508908   24765.74079857
  345   24316.45801936   24774.32512068
  346   24305.94133171   24763.29265791
  347   24304.51028732   24761.79149484
  348   24315.63872430   24773.46561442
  349   24300.23919499   24757.31121865
  350   24316.31408703   24774.17412374
  351   24316.96404148   24774.85598101
  352   24312.29597110   24769.95885084
  353   24309.58504748   24767.11497937
  354   24313.15504859   24770.86007041
  355   24317.09284138   24774.99110340
  356   24312.12005970   24769.77431078
  357   24317.06671677   24774.96369639
  358   24319.75707278   24777.78614388
  359   24314.93493107   24772.72728292
  360   24313.12049258   24770.82381916
  361   24316.65348345   24774.53017893
  362   24312.81438540   24770.50269531
  363   24320.10020578   24778.14612802
  364   24312.74502643   24770.42993391
  365   24318.74431180   24776.72365178
  366   24309.10462330   24766.61100027
  367   24308.51299529   24765.99036747
  368   24307.53831594   24764.96790988
  369   24318.08437665   24776.03131503
  370   24310.29866212   24767.86358537
  371   24306.77522991   24764.16742280
  372   24317.68690571   24775.61433059
  373   24319.52835564   24777.54619503
  374   24316.38546189   24774.24900186
  375   24321.95798005   24780.09515242
  376   24313.55166493   24771.27614468
  377   24312.93522866   24770.62946668
  378   24307.04589204   24764.45135036
  379   24306.19898224   24763.56293450
  380   24311.81412012   24769.45336508
  381   24312.14112217   24769.79640638
  382   24308.80196946   24766.29350838
  383   24307.35917525   24764.77998859
  384   24305.00811266   24762.31371099
  385   24310.10098909   24767.65621927
  386   24309.93026849   24767.47712746
  387   24303.88427804   24761.13481708
  388   24304.92486993   24762.22638968
  389   24312.86657989   24770.55745025
  390   24307.25434511   24764.67002031
  391   24313.83113963   24771.56933107
  392   24310.98195134   24768.58038259
  393   24313.69542017   24771.42695282
  394   24307.67224386   24765.10840244
  395   24304.30175685   24761.57274805
  396   24310.94355334   24768.54010148
  397   24318.64200122   24776.61631772
  398   24311.21270644   24768.82245454
  399   24319.96416103   24778.00340206
  400   24322.22697026   24780.37735706
  401   24309.36578821   24766.88496973
  402   24307.40119706   24764.82407007
  403   24315.20384865   24773.00939705
  404   24306.32575325   24763.69591807
  405   24312.42886593   24770.09826447
  406   24307.91178792   24765.35968839
  407   24307.13030178   24764.53989722
  408   24314.09171106   24771.84268729
  409   24318.75175142   24776.73145669
  410   24314.92654290   24772.71848313
  411   24303.80265273   24761.04919313
  412   24308.75059907   24766.23961954
  413   24309.95869568   24767.50694855
  414   24318.85994592   24776.84496366
  415   24301.46855850   24758.60077814
