polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models in this file assume the voyager wind profile from Tollefson et al. (2018, Icarus 311).
the distribution of models in this file comes from randomly drawing the gravity moments j2,j4 from Gaussians with means and standard deviations from Jacobson 2009.
index         r_pol_km          r_eq_km
  148   24285.74618510   24761.86521177
  149   24286.08147739   24761.96378753
  150   24286.17276971   24761.79236690
  151   24285.81471570   24761.73099760
  152   24285.91571775   24761.75780831
  153   24286.15321396   24761.94641979
  154   24285.75680226   24762.01832261
  155   24285.98228946   24761.86444786
  156   24285.83186646   24761.87445522
  157   24285.96990552   24761.79234211
  158   24285.94468029   24761.87961704
  159   24286.06218640   24761.88489822
  160   24285.90703347   24761.69686023
  161   24285.89995196   24761.91542797
  162   24286.02773768   24761.92038038
  163   24286.34525706   24761.78950621
  164   24286.23857270   24761.77627277
  165   24285.91267858   24761.77463905
  166   24286.13659643   24761.92130276
  167   24286.11221389   24761.65316836
  168   24286.07845958   24762.06329329
  169   24286.05140758   24761.95228548
  170   24285.99988282   24761.82598878
  171   24286.16504582   24761.85358732
  172   24285.90427605   24761.87920813
  173   24286.24969406   24761.70801304
  174   24285.82229308   24761.77973005
  175   24286.01934225   24761.57925353
  176   24286.28749040   24761.91241313
  177   24286.10025998   24761.94744642
  178   24286.08266227   24762.10632676
  179   24285.82081886   24761.65931124
  180   24285.91523007   24761.83664179
  181   24285.84780240   24761.66105332
  182   24285.88614293   24761.76738763
  183   24286.09823706   24761.91502132
  184   24286.06207609   24761.82295230
  185   24285.96870692   24761.87563291
  186   24285.90101070   24761.77569827
  187   24286.24266447   24761.79049942
  188   24286.11302453   24761.87762707
  189   24286.08830586   24762.06590697
  190   24285.76651529   24761.76211864
  191   24286.01316364   24761.83245145
  192   24286.00311636   24761.75317899
  193   24285.79116740   24761.70497225
  194   24285.91566163   24761.86215727
  195   24286.04328466   24761.77083053
  196   24285.87384930   24761.81991540
  197   24286.16255818   24761.91080512
  198   24285.92309690   24762.03723659
  199   24285.96744135   24761.91722502
  200   24286.06065309   24762.08136745
  201   24285.90671732   24761.80771246
  202   24285.89023020   24761.94821712
  203   24285.73721539   24761.82195186
  204   24286.43819285   24761.80474105
  205   24285.91983607   24761.87726013
  206   24286.24288305   24761.90725366
  207   24285.88698064   24761.85069071
  208   24286.19058729   24761.77048832
  209   24286.09544443   24761.67228129
  210   24286.04766361   24761.85357534
  211   24286.03862472   24761.87246760
  212   24285.80933282   24761.82141612
  213   24286.09322203   24761.73706466
  214   24286.22813521   24761.84189402
  215   24285.89701447   24761.97137774
  216   24286.07998480   24761.74106226
  217   24286.03877158   24761.89716203
  218   24286.00902767   24761.84705205
  219   24286.13908876   24761.83360048
  220   24286.33832559   24761.93497239
  221   24286.05570008   24762.01388788
  222   24285.88961210   24761.91514903
  223   24285.88976589   24761.65968372
  224   24286.21363766   24761.89456444
  225   24286.01442447   24761.80001788
  226   24285.93531021   24761.72684103
  227   24286.14575557   24761.80764950
  228   24286.01088911   24761.90564099
  229   24285.95995175   24761.85874969
  230   24285.92915925   24761.88389514
  231   24286.18546742   24761.91128997
  232   24286.37231297   24761.91966583
  233   24286.20530969   24761.90234943
  234   24286.09622956   24761.92371909
  235   24286.24034528   24761.94909620
  236   24285.95869461   24761.86331047
  237   24285.81921859   24761.88326757
  238   24286.03996835   24761.92619812
  239   24286.08436734   24761.77886250
  240   24286.30193548   24761.82078150
  241   24286.14500218   24761.93463621
  242   24286.08314717   24761.93398377
  243   24285.98803866   24761.97156697
  244   24286.14838499   24761.87991087
  245   24286.35554697   24761.86561441
  246   24286.13803713   24761.86495584
  247   24285.92203086   24761.87680861
  248   24286.07876744   24761.93888926
  249   24286.16000665   24761.80779131
  250   24286.11224773   24761.92312066
  251   24286.22041764   24761.78162174
  252   24286.12118839   24761.91925758
  253   24285.97559011   24761.81396134
  254   24286.14144921   24761.78839522
  255   24286.04946639   24761.75806021
  256   24285.97344650   24761.91834129
  257   24286.09978414   24761.80837291
  258   24286.05160272   24761.86692117
  259   24285.92219561   24761.81098311
  260   24286.04797747   24761.80385568
  261   24285.93444523   24761.83377507
  262   24285.96986916   24761.83208357
  263   24285.80095471   24761.71085966
  264   24285.95418928   24761.83784937
  265   24285.87335608   24761.70152521
  266   24285.98152019   24761.76591225
  267   24285.70848710   24761.77609546
  268   24286.22104952   24761.72196845
  269   24286.06486717   24761.91286743
  270   24285.77928175   24762.00900537
  271   24285.84123760   24761.91206438
  272   24286.04642021   24761.77521996
  273   24285.87585655   24761.78320527
  274   24286.04771882   24761.76167830
  275   24286.16841072   24761.82288769
  276   24286.08960970   24761.85675095
  277   24286.19828111   24761.55890642
  278   24285.95216644   24761.84506741
  279   24286.08373032   24761.66783198
  280   24286.37692310   24761.68433109
  281   24286.18811315   24761.92770813
  282   24285.93181487   24761.77893398
  283   24285.94368726   24761.93715225
  284   24285.89389299   24761.76646330
  285   24286.19950751   24761.77986949
  286   24285.96562064   24761.73833396
  287   24286.06562797   24761.91119981
  288   24286.21810131   24761.71537882
  289   24285.79639048   24761.96268417
  290   24286.21096390   24761.82011768
  291   24286.03056183   24761.80728390
  292   24286.22208681   24761.82975514
  293   24286.14295898   24761.88724230
  294   24285.96102679   24761.83724839
  295   24286.31132386   24761.93710944
  296   24286.18892793   24761.65528162
  297   24285.80598317   24761.80757112
  298   24285.88695543   24761.81953080
  299   24286.06132595   24761.77328409
  300   24285.90707116   24761.88345878
  301   24285.96919597   24761.91815923
  302   24285.96578821   24761.67157564
  303   24286.12558195   24761.85537021
  304   24285.91924963   24761.83793737
  305   24286.24227648   24761.78751936
  306   24285.91768903   24761.97997324
  307   24285.88824104   24761.80369904
  308   24285.74251889   24761.67829324
  309   24285.99148672   24761.79853285
  310   24286.12913069   24761.94142129
  311   24286.04727918   24761.95796508
  312   24286.12059963   24761.96285085
  313   24285.83453993   24761.82455285
  314   24286.16668489   24762.00685769
  315   24286.01116080   24761.99347585
  316   24285.80301661   24761.96069708
  317   24286.14775940   24761.96198557
  318   24286.25565975   24762.04462753
  319   24285.95759046   24761.81730512
