       Table 1 (Garcia-Melendo et al.)

 Averaged mean zonal flow from Cassini ISS
 CB2 and CB3 images, from 2004 to 2008.

 Lat       Lat       u      sigma-u    Number
 Pc        Pg       m/s       m/s    of points
------    -----     -----   -------  ---------
-1.9      -2.4      348.5     19.0      51
-1.7      -2.1      356.5     22.0      53
-1.6      -1.9      351.1     18.4      61
-1.4      -1.7      347.5     20.3      53
-1.1      -1.4      353.6     23.8      49
-0.9      -1.1      364.4     21.0      57
-0.8      -0.9      370.4     19.1      62
-0.6      -0.7      370.1     20.8      54
-0.3      -0.4      371.5     20.5      54
-0.2      -0.2      384.2     14.1      59
0.1       0.1       389.4     16.7      28
0.3       0.3       384.5     15.1      28
0.5       0.6       383.3     22.4      20
0.7       0.8       367.0     23.6      27
0.8       1.0       377.8     15.1      26
1.0       1.3       368.1     17.8      13
1.3       1.6       354.0     26.3      12
1.5       1.8       352.9     19.6      27
1.7       2.1       347.9     18.9      20
1.9       2.3       353.1     17.5      22
2.1       2.6       354.0     16.1      24
2.2       2.7       351.5     16.3      25
2.5       3.0       342.3     17.5      25
2.6       3.2       346.8     13.9      26
2.9       3.5       349.4     12.3      32
3.0       3.7       354.8     15.1      34
3.2       4.0       357.3     15.4      29
3.5       4.3       354.7     15.7      34
3.7       4.5       354.7     14.1      40
3.8       4.7       359.3     7.0       33
4.0       4.9       361.6     9.6       39
4.3       5.3       360.3     10.0      42
4.4       5.4       364.4     7.9       41
4.7       5.7       363.6     6.7       39
4.9       6.0       367.7     6.0       42
5.0       6.2       366.3     5.7       37
5.3       6.5       369.2     5.1       34
5.5       6.7       372.7     6.0       37
5.6       6.9       375.4     8.2       33
5.9       7.2       376.3     3.8       24
6.0       7.4       377.8     4.9       20
6.3       7.7       380.6     4.2       10
6.5       7.9       381.9     4.4       23
6.7       8.2       385.2     5.6       35
6.8       8.4       385.5     4.7       35
7.0       8.6       385.2     6.4       34
7.3       8.9       386.0     4.3       32
7.5       9.2       386.7     4.5       30
7.6       9.3       385.3     5.2       25
7.8       9.6       382.6     4.2       23
8.0       9.8       381.5     5.1       18
8.2       10.0      379.1     5.4       9
8.5       10.4      380.4     2.0       2
8.7       10.6      373.3     5.3       6
8.9       10.9      367.5     4.7       9
