shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.244781 -3.599057 -0.117234  0.852378  0.289859 -0.249673 -0.272671 -0.021675  0.086471  0.036530
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -0.8632653061     1.0417034691    59.6852122830    60.9712924859     0.0224463340     0.0001207930 25131.5151132232
   -0.8612244898     1.0376741234    59.4543477825    60.7459385573     0.0225425116     0.0001207532 25133.7934907211
   -0.8591836735     1.0336721045    59.2250489867    60.5219771974     0.0226356674     0.0001207107 25136.0661463532
   -0.8571428571     1.0296968008    58.9972808661    60.2993663211     0.0227256783     0.0001206649 25138.3329896960
   -0.8551020408     1.0257476230    58.7710096411    60.0780806483     0.0228126926     0.0001206162 25140.5939314493
   -0.8530612245     1.0218240020    58.5462027200    59.8580898635     0.0228967501     0.0001205648 25142.8488833976
   -0.8510204082     1.0179253889    58.3228286418    59.6393638558     0.0229778742     0.0001205106 25145.0977583739
   -0.8489795918     1.0140512533    58.1008570218    59.4218653776     0.0230559453     0.0001204531 25147.3404702244
   -0.8469387755     1.0102010827    57.8802585008    59.2055742048     0.0231311227     0.0001203928 25149.5769337751
   -0.8448979592     1.0063743820    57.6610046973    58.9904640432     0.0232034429     0.0001203297 25151.8070647991
   -0.8428571429     1.0025706719    57.4430681625    58.7765089879     0.0232729328     0.0001202638 25154.0307799860
   -0.8408163265     0.9987894889    57.2264223382    58.5636810507     0.0233395675     0.0001201949 25156.2479969117
   -0.8387755102     0.9950303845    57.0110415164    58.3519542444     0.0234033421     0.0001201231 25158.4586340100
   -0.8367346939     0.9912929239    56.7969008020    58.1413104658     0.0234643751     0.0001200485 25160.6626105446
   -0.8346938776     0.9875766864    56.5839760772    57.9317273544     0.0235226973     0.0001199713 25162.8598467649
   -0.8326530612     0.9838812640    56.3722439680    57.7231833405     0.0235783400     0.0001198914 25165.0502654811
   -0.8306122449     0.9802062611    56.1616818123    57.5156576139     0.0236313357     0.0001198089 25167.2337921916
   -0.8285714286     0.9765512941    55.9522676300    57.3091237541     0.0236816068     0.0001197235 25169.4103545449
   -0.8265306122     0.9729159908    55.7439800947    57.1035685948     0.0237292958     0.0001196355 25171.5798822361
   -0.8244897959     0.9692999900    55.5367985066    56.8989738290     0.0237744444     0.0001195450 25173.7423069121
   -0.8224489796     0.9657029407    55.3307027670    56.6953214095     0.0238170883     0.0001194521 25175.8975620819
   -0.8204081633     0.9621245024    55.1256733545    56.4925939074     0.0238572643     0.0001193568 25178.0455830320
   -0.8183673469     0.9585643440    54.9216913014    56.2907744878     0.0238950093     0.0001192592 25180.1863067457
   -0.8163265306     0.9550221437    54.7187381727    56.0898466059     0.0239303566     0.0001191593 25182.3196718276
   -0.8142857143     0.9514975886    54.5167960447    55.8897902746     0.0239632699     0.0001190569 25184.4456184309
   -0.8122448980     0.9479903746    54.3158474857    55.6905951649     0.0239938734     0.0001189523 25186.5640889942
   -0.8102040816     0.9445002057    54.1158755372    55.4922465976     0.0240222067     0.0001188457 25188.6750330301
   -0.8081632653     0.9410267938    53.9168636960    55.2947303764     0.0240483102     0.0001187371 25190.7784007849
   -0.8061224490     0.9375698586    53.7187958976    55.0980327688     0.0240722246     0.0001186265 25192.8741445693
   -0.8040816327     0.9341291270    53.5216564995    54.9021404877     0.0240939909     0.0001185140 25194.9622192693
   -0.8020408163     0.9307043332    53.3254302661    54.7070406729     0.0241136506     0.0001183997 25197.0425822304
   -0.8000000000     0.9272952180    53.1301023542    54.5127208740     0.0241312455     0.0001182836 25199.1151931471
   -0.7979591837     0.9239015290    52.9356582985    54.3191690337     0.0241468176     0.0001181659 25201.1800139591
   -0.7959183673     0.9205230201    52.7420839987    54.1263734715     0.0241604091     0.0001180465 25203.2370087514
   -0.7938775510     0.9171594514    52.5493657065    53.9343209215     0.0241720285     0.0001179255 25205.2861436609
   -0.7918367347     0.9138105888    52.3574900132    53.7430022350     0.0241817501     0.0001178030 25207.3273867863
   -0.7897959184     0.9104762040    52.1664438387    53.5524071536     0.0241896232     0.0001176791 25209.3607081034
   -0.7877551020     0.9071560743    51.9762144194    53.3625253456     0.0241956901     0.0001175539 25211.3860809455
   -0.7857142857     0.9038499823    51.7867892983    53.1733467828     0.0241999934     0.0001174274 25213.4034852737
   -0.7836734694     0.9005577156    51.5981563144    52.9848617269     0.0242025752     0.0001172998 25215.4129000293
   -0.7816326531     0.8972790671    51.4103035930    52.7970607180     0.0242034778     0.0001171711 25217.4143064181
   -0.7795918367     0.8940138344    51.2232195364    52.6099345620     0.0242027430     0.0001170413 25219.4076881685
   -0.7775510204     0.8907618196    51.0368928148    52.4234743193     0.0242004126     0.0001169107 25221.3930314269
   -0.7755102041     0.8875228296    50.8513123577    52.2376712937     0.0241965280     0.0001167791 25223.3703246575
   -0.7734693878     0.8842966755    50.6664673458    52.0525170218     0.0241911304     0.0001166467 25225.3395585469
   -0.7714285714     0.8810831728    50.4823472028    51.8680032628     0.0241842605     0.0001165136 25227.3007259135
   -0.7693877551     0.8778821410    50.2989415880    51.6841219882     0.0241759587     0.0001163798 25229.2538216200
   -0.7673469388     0.8746934035    50.1162403889    51.5008653731     0.0241662649     0.0001162454 25231.1988424915
   -0.7653061224     0.8715167878    49.9342337142    51.3182257864     0.0241552185     0.0001161105 25233.1357872361
   -0.7632653061     0.8683521249    49.7529118872    51.1361957825     0.0241428585     0.0001159752 25235.0646563694
   -0.7612244898     0.8651992496    49.5722654391    50.9547680928     0.0241292232     0.0001158394 25236.9854521429
   -0.7591836735     0.8620580001    49.3922851027    50.7739356179     0.0241143506     0.0001157033 25238.8981784746
   -0.7571428571     0.8589282182    49.2129618067    50.5936914197     0.0240982778     0.0001155669 25240.8028411757
   -0.7551020408     0.8558097488    49.0342866700    50.4140287147     0.0240810415     0.0001154304 25242.6994496056
   -0.7530612245     0.8527024401    48.8562509955    50.2349408663     0.0240626776     0.0001152936 25244.5880142279
