shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.235650 -3.623158 -0.106032  0.834220  0.279658 -0.147820 -0.233746  0.041517  0.097552 -0.030411
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -0.8632653061     1.0417034691    59.6852122830    60.9681246222     0.0223910443     0.0001206045 25131.8996187034
   -0.8612244898     1.0376741234    59.4543477825    60.7425775640     0.0224838512     0.0001205542 25134.1722533444
   -0.8591836735     1.0336721045    59.2250489867    60.5184360567     0.0225738629     0.0001205021 25136.4388768605
   -0.8571428571     1.0296968008    58.9972808661    60.2956604070     0.0226609979     0.0001204477 25138.6994280590
   -0.8551020408     1.0257476230    58.7710096411    60.0742237254     0.0227453766     0.0001203913 25140.9538455586
   -0.8530612245     1.0218240020    58.5462027200    59.8540956220     0.0228270374     0.0001203329 25143.2020678220
   -0.8510204082     1.0179253889    58.3228286418    59.6352461036     0.0229060059     0.0001202726 25145.4440347814
   -0.8489795918     1.0140512533    58.1008570218    59.4176400249     0.0229821989     0.0001202099 25147.6796908847
   -0.8469387755     1.0102010827    57.8802585008    59.2012552400     0.0230557425     0.0001201452 25149.9089733150
   -0.8448979592     1.0063743820    57.6610046973    58.9860652637     0.0231266697     0.0001200785 25152.1318196057
   -0.8428571429     1.0025706719    57.4430681625    58.7720440996     0.0231950058     0.0001200098 25154.3481686052
   -0.8408163265     0.9987894889    57.2264223382    58.5591643263     0.0232607358     0.0001199390 25156.5579604145
   -0.8387755102     0.9950303845    57.0110415164    58.3474001845     0.0233238587     0.0001198659 25158.7611363288
   -0.8367346939     0.9912929239    56.7969008020    58.1367321415     0.0233844683     0.0001197908 25160.9576387820
   -0.8346938776     0.9875766864    56.5839760772    57.9271375679     0.0234425904     0.0001197138 25163.1474112946
   -0.8326530612     0.9838812640    56.3722439680    57.7185945891     0.0234982512     0.0001196348 25165.3303984244
   -0.8306122449     0.9802062611    56.1616818123    57.5110820553     0.0235514772     0.0001195537 25167.5065457192
   -0.8285714286     0.9765512941    55.9522676300    57.3045744611     0.0236022067     0.0001194705 25169.6757996734
   -0.8265306122     0.9729159908    55.7439800947    57.0990569102     0.0236505520     0.0001193853 25171.8381076855
   -0.8244897959     0.9692999900    55.5367985066    56.8945105820     0.0236965460     0.0001192982 25173.9934180184
   -0.8224489796     0.9657029407    55.3307027670    56.6909169711     0.0237402164     0.0001192091 25176.1416797624
   -0.8204081633     0.9621245024    55.1256733545    56.4882581687     0.0237815913     0.0001191182 25178.2828427986
   -0.8183673469     0.9585643440    54.9216913014    56.2865168397     0.0238206994     0.0001190254 25180.4168577655
   -0.8163265306     0.9550221437    54.7187381727    56.0856759675     0.0238575652     0.0001189308 25182.5436760268
   -0.8142857143     0.9514975886    54.5167960447    55.8857156882     0.0238921550     0.0001188341 25184.6632496401
   -0.8122448980     0.9479903746    54.3158474857    55.6866243119     0.0239245689     0.0001187357 25186.7755330932
   -0.8102040816     0.9445002057    54.1158755372    55.4883866065     0.0239548372     0.0001186355 25188.8804896403
   -0.8081632653     0.9410267938    53.9168636960    55.2909878151     0.0239829902     0.0001185336 25190.9780753599
   -0.8061224490     0.9375698586    53.7187958976    55.0944136394     0.0240090588     0.0001184301 25193.0682471345
   -0.8040816327     0.9341291270    53.5216564995    54.8986502238     0.0240330743     0.0001183249 25195.1509642038
   -0.8020408163     0.9307043332    53.3254302661    54.7036841389     0.0240550680     0.0001182181 25197.2261880580
   -0.8000000000     0.9272952180    53.1301023542    54.5095023666     0.0240750719     0.0001181097 25199.2938823363
   -0.7979591837     0.9239015290    52.9356582985    54.3160922854     0.0240931182     0.0001179999 25201.3540127309
   -0.7959183673     0.9205230201    52.7420839987    54.1234416557     0.0241092393     0.0001178885 25203.4065468964
   -0.7938775510     0.9171594514    52.5493657065    53.9315367735     0.0241234359     0.0001177756 25205.4514543625
   -0.7918367347     0.9138105888    52.3574900132    53.7403677960     0.0241357705     0.0001176613 25207.4887064525
   -0.7897959184     0.9104762040    52.1664438387    53.5499239119     0.0241462824     0.0001175457 25209.5182762044
   -0.7877551020     0.9071560743    51.9762144194    53.3601942754     0.0241550053     0.0001174287 25211.5401382972
   -0.7857142857     0.9038499823    51.7867892983    53.1711683574     0.0241619727     0.0001173106 25213.5542689798
   -0.7836734694     0.9005577156    51.5981563144    52.9828359345     0.0241672185     0.0001171912 25215.5606460039
   -0.7816326531     0.8972790671    51.4103035930    52.7951870774     0.0241707766     0.0001170707 25217.5592485598
   -0.7795918367     0.8940138344    51.2232195364    52.6082121403     0.0241726811     0.0001169491 25219.5500572156
   -0.7775510204     0.8907618196    51.0368928148    52.4219017500     0.0241729661     0.0001168264 25221.5330538587
   -0.7755102041     0.8875228296    50.8513123577    52.2362467962     0.0241716659     0.0001167028 25223.5082216409
   -0.7734693878     0.8842966755    50.6664673458    52.0512384211     0.0241688146     0.0001165782 25225.4755449250
   -0.7714285714     0.8810831728    50.4823472028    51.8668680109     0.0241644467     0.0001164527 25227.4350129854
   -0.7693877551     0.8778821410    50.2989415880    51.6831271855     0.0241585961     0.0001163264 25229.3866171771
   -0.7673469388     0.8746934035    50.1162403889    51.5000077898     0.0241512972     0.0001161993 25231.3303470731
   -0.7653061224     0.8715167878    49.9342337142    51.3175018851     0.0241425840     0.0001160715 25233.2661943370
   -0.7632653061     0.8683521249    49.7529118872    51.1356017406     0.0241324905     0.0001159430 25235.1941526415
   -0.7612244898     0.8651992496    49.5722654391    50.9542998255     0.0241210504     0.0001158139 25237.1142175898
   -0.7591836735     0.8620580001    49.3922851027    50.7735888010     0.0241082975     0.0001156842 25239.0263866408
   -0.7571428571     0.8589282182    49.2129618067    50.5934615127     0.0240942652     0.0001155541 25240.9306590367
   -0.7551020408     0.8558097488    49.0342866700    50.4139109832     0.0240789867     0.0001154234 25242.8270357347
   -0.7530612245     0.8527024401    48.8562509955    50.2349304050     0.0240624950     0.0001152924 25244.7155193412
   -0.7510204082     0.8496061434    48.6788462656    50.0565131336     0.0240448228     0.0001151610 25246.5961140489
   -0.7489795918     0.8465207132    48.5020641364    49.8786526810     0.0240260025     0.0001150293 25248.4688255766
   -0.7469387755     0.8434460067    48.3258964330    49.7013427087     0.0240060662     0.0001148974 25250.3336611116
   -0.7448979592     0.8403818842    48.1503351447    49.5245770223     0.0239850455     0.0001147653 25252.1906292548
   -0.7428571429     0.8373282086    47.9753724206    49.3483495650     0.0239629717     0.0001146330 25254.0397399674
   -0.7408163265     0.8342848456    47.8010005647    49.1726544120     0.0239398758     0.0001145007 25255.8810045206
   -0.7387755102     0.8312516635    47.6272120320    48.9974857649     0.0239157883     0.0001143683 25257.7144354471
   -0.7367346939     0.8282285332    47.4539994242    48.8228379463     0.0238907391     0.0001142359 25259.5400464946
   -0.7346938776     0.8252153280    47.2813554856    48.6487053950     0.0238647579     0.0001141036 25261.3578525811
   -0.7326530612     0.8222119238    47.1092730996    48.4750826606     0.0238378738     0.0001139714 25263.1678697524
   -0.7306122449     0.8192181987    46.9377452847    48.3019643990     0.0238101153     0.0001138394 25264.9701151408
   -0.7285714286     0.8162340331    46.7667651908    48.1293453681     0.0237815104     0.0001137076 25266.7646069261
   -0.7265306122     0.8132593097    46.5963260961    47.9572204228     0.0237520868     0.0001135760 25268.5513642977
